Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:52:28,2023-09-18 14:52:30,1.323s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:52:30,2023-09-18 14:52:35,5.464s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:35,2023-09-18 14:52:38,3.212s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:52:38,2023-09-18 14:52:39,0.673s,PASSED
,,,,,,,
Test Cases/TC_0026,Chrome 116.0.0.0,,,2023-09-18 14:52:39,2023-09-18 14:52:52,12.622s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:52:39,2023-09-18 14:52:41,1.309s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:52:41,2023-09-18 14:52:48,7.357s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:48,2023-09-18 14:52:51,2.945s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:52:51,2023-09-18 14:52:52,0.674s,PASSED
,,,,,,,
Test Cases/TC_0027,Chrome 116.0.0.0,,,2023-09-18 14:52:52,2023-09-18 14:53:03,10.998s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:52:52,2023-09-18 14:52:53,1.294s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:52:53,2023-09-18 14:52:59,5.339s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:52:59,2023-09-18 14:53:02,3.332s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:53:02,2023-09-18 14:53:03,0.685s,PASSED
,,,,,,,
Test Cases/TC_0028,Chrome 116.0.0.0,,,2023-09-18 14:53:03,2023-09-18 14:53:13,10.512s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:53:03,2023-09-18 14:53:04,1.308s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:53:04,2023-09-18 14:53:10,6.132s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:53:10,2023-09-18 14:53:13,2.064s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:53:13,2023-09-18 14:53:13,0.673s,PASSED
,,,,,,,
Test Cases/TC_0029,Chrome 116.0.0.0,,,2023-09-18 14:53:13,2023-09-18 14:53:23,10.157s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:53:14,2023-09-18 14:53:15,1.293s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:53:15,2023-09-18 14:53:21,6.054s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:53:21,2023-09-18 14:53:23,1.790s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:53:23,2023-09-18 14:53:23,0.684s,PASSED
,,,,,,,
Test Cases/TC_003,Chrome 116.0.0.0,,,2023-09-18 14:53:23,2023-09-18 14:53:54,30.318s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:53:24,2023-09-18 14:53:25,1.320s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-18 14:53:25,2023-09-18 14:53:25,0.129s,PASSED
"navigateToUrl(""https://www.uber.com/in/en/"")",Chrome 116.0.0.0,,,2023-09-18 14:53:25,2023-09-18 14:53:31,6.073s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/img_Drive or deliver_css-iTMoEO""))",Chrome 116.0.0.0,,,2023-09-18 14:53:31,2023-09-18 14:53:33,1.302s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/a_Get started""))",Chrome 116.0.0.0,,,2023-09-18 14:53:33,2023-09-18 14:53:39,5.990s,PASSED
"click(findTestObject(""Object Repository/Page_Rent Out Your Car Through Uber and Ear_fd3df7/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-18 14:53:39,2023-09-18 14:53:43,4.188s,PASSED
"click(findTestObject(""Object Repository/Page_Sign Up to Drive  Uber/a_Sign up now""))",Chrome 116.0.0.0,,,2023-09-18 14:53:43,2023-09-18 14:53:53,10.163s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:53:53,2023-09-18 14:53:54,0.816s,PASSED
,,,,,,,
Test Cases/TC_0030,Chrome 116.0.0.0,,,2023-09-18 14:53:54,2023-09-18 14:54:06,12.212s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:53:54,2023-09-18 14:53:55,1.291s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:53:55,2023-09-18 14:54:02,6.794s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:54:02,2023-09-18 14:54:05,3.106s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:54:05,2023-09-18 14:54:06,0.681s,PASSED
,,,,,,,
Test Cases/TC_004,Chrome 116.0.0.0,,,2023-09-18 14:54:06,2023-09-18 14:54:37,31.190s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:54:06,2023-09-18 14:54:08,1.280s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-18 14:54:08,2023-09-18 14:54:08,0.127s,PASSED
"navigateToUrl(""https://www.uber.com/in/en/"")",Chrome 116.0.0.0,,,2023-09-18 14:54:08,2023-09-18 14:54:13,5.770s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/img_Drive or deliver_css-iTMoEO""))",Chrome 116.0.0.0,,,2023-09-18 14:54:13,2023-09-18 14:54:15,1.281s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/a_Get started""))",Chrome 116.0.0.0,,,2023-09-18 14:54:15,2023-09-18 14:54:21,6.246s,PASSED
"click(findTestObject(""Object Repository/Page_Rent Out Your Car Through Uber and Ear_fd3df7/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-18 14:54:21,2023-09-18 14:54:26,5.003s,PASSED
"click(findTestObject(""Object Repository/Page_Sign Up to Drive  Uber/a_Sign up now""))",Chrome 116.0.0.0,,,2023-09-18 14:54:26,2023-09-18 14:54:36,10.354s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:54:36,2023-09-18 14:54:37,0.782s,PASSED
,,,,,,,
Test Cases/TC_005,Chrome 116.0.0.0,,,2023-09-18 14:54:37,2023-09-18 14:54:47,10.234s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:54:37,2023-09-18 14:54:39,1.327s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:54:39,2023-09-18 14:54:45,6.143s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:54:45,2023-09-18 14:54:47,1.736s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:54:47,2023-09-18 14:54:47,0.686s,PASSED
,,,,,,,
Test Cases/TC_006,Chrome 116.0.0.0,,,2023-09-18 14:54:47,2023-09-18 14:54:59,11.464s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:54:48,2023-09-18 14:54:49,1.483s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:54:49,2023-09-18 14:54:55,5.524s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:54:55,2023-09-18 14:54:58,3.439s,PASSED
